price,load
6028.1,2725
6067.01,1771
6014.9,1789
7354.21,1573
7377.64,2565
7392.13,3822
7494.17,3839
7646.95,3952
7624.3,4189
7662.73,4309
7644.97,4337
7713.27,4370
7913.42,4431
7934.52,3330
7948.4,2172
7808.44,2132
7860.29,2004
7828.23,1820
7792.61,1692
7671.97,1636
7766.45,1655
7778.76,1648
7796.06,1604
7848.55,1611
7840.86,1603
7821.86,1484
7837.86,1390
7816.98,1373
7824.44,1370
7860.93,1387
7823.99,1286
7851.4,1220
7902.26,1188
7924.78,1166
7898.3,1255
7924.39,1273
7940.48,1240
7894.56,1266
7961.85,1306
7968.97,1297
7990.11,1312
7978.8,1339
7865.51,1287
7869.9,1263
7843.55,1305
7767.28,1354
8040.88,1417
8059.03,1541
8133.82,1608
8065.02,1662
8036.91,1737
7887.79,1767
7904.21,1776
7900.14,1742
7918.13,1740
7934.44,1747
7929.13,1653
7907.16,1523
7855.56,1492
7905.52,1457
7937.3,1418
7929.87,1329
7875.13,1232
7829.82,1190
7855.82,1184
7842.03,1235
7753.54,1244
7734.35,1328
7790.26,1431
7765.32,1431
7722.5,1432
7803.09,1448
7881.45,1420
7804.92,1367
7887.63,1333
7888.54,1355
7973.7,1395
7899.71,1481
7883.49,1538
7932.05,1545
7851.32,1586
8063.52,1478
8023.42,1441
8084.93,1513
8081.54,1532
8033.31,1529
8157.47,1485
8247.74,1576
8260.72,1744
8280.11,1820
8294.92,1867
8309.91,1738
8280.11,1583
8400.83,1591
8576.55,1669
8651.4,1955
8679.72,2083
8741.53,1970
8736.11,1980
8712.74,2001
8725.58,1960
8740.29,1948
8725.11,1949
8717.47,1831
8733.39,1541
8747.58,1299
8721.7,1215
8759.79,1164
8785.43,1123
8886.66,1161
8908.28,1302
8877.92,1425
8877.4,1440
8884.79,1421
8876.63,1402
8925.0,1410
9038.91,1425
9113.61,1493
9113.66,1623
9087.79,1601
9079.91,1518
9089.0,1510
9097.79,1532
9111.73,1544
9104.36,1508
9085.23,1437
9067.82,1287
9075.76,1164
9071.02,1142
9089.95,1126
9097.51,1100
9092.5,1102
9118.06,1126
9131.88,1119
9103.89,1114
9114.78,1157
9097.88,1192
9085.12,1191
9064.72,1168
9073.75,1167
9051.45,1170
9001.4,1201
9071.03,1250
9060.87,1270
9109.53,1266
9127.92,1269
9143.48,1301
9111.67,1300
9114.71,1305
9100.91,1344
9096.05,1349
9107.86,1326
9046.75,1249
9033.59,1225
9052.12,1276
9020.0,1286
8990.0,1293
9054.68,1309
9061.89,1314
9100.04,1288
9110.53,1262
9150.9,1255
9110.6,1289
9093.78,1346
9083.37,1380
9085.48,1394
9023.01,1397
9081.95,1368
9075.0,1320
9100.89,1297
9086.41,1280
9080.12,1269
8922.61,1258
8895.05,1294
8922.99,1398
8922.37,1427
8891.46,1405
8869.82,1453
8919.89,1488
8873.42,1471
8859.71,1451
8750.87,1473
8744.35,1457
8724.52,1383
8702.85,1409
8739.58,1485
8718.28,1516
8723.0,1496
8715.5,1474
8700.0,1448
8722.75,1399
8756.45,1234
8731.18,1113
8717.12,1125
8795.06,1154
8795.06,1210
8818.86,1214
8816.27,1245
8787.02,1281
8839.75,1279
8825.35,1306
8790.18,1294
8812.35,1259
8793.95,1250
8781.25,1208
8760.07,1181
8779.98,1219
8733.13,1212
8704.78,1194
8713.97,1270
8717.89,1295
8718.99,1271
8698.95,1261
8753.01,1234
8736.43,1216
8798.14,1224
8788.59,1229
8858.22,1246
8829.04,1330
8821.09,1370
8772.22,1380
8756.08,1356
8783.83,1357
8850.49,1348
8841.33,1266
8866.6,1222
8864.99,1213
8815.77,1266
8840.14,1290
8915.24,1252
8910.84,1276
8935.09,1330
8882.24,1349
8883.12,1337
8859.99,1276
8868.33,1267
8858.58,1307
8829.21,1311
8814.89,1255
8829.41,1226
8753.44,1276
8758.35,1337
8722.1,1351
8697.04,1325
8665.07,1326
8625.39,1386
8624.89,1454
8658.0,1441
8643.24,1424
8601.99,1460
8626.06,1429
8560.4,1346
8558.04,1320
8531.88,1334
8561.75,1342
8526.44,1308
8492.2,1269
8542.2,1338
8457.63,1401
8500.0,1374
8522.3,1352
8557.8,1292
8565.0,1252
8609.34,1252
8575.0,1272
8648.37,1335
8570.43,1403
8539.63,1412
8532.0,1384
8541.16,1373
8543.48,1338
8586.83,1281
8580.73,1257
8620.36,1261
8630.86,1278
8639.28,1308
8547.25,1306
8523.61,1286
8634.65,1265
8634.58,1241
8654.96,1271
8671.41,1321
8663.73,1311
8651.7,1303
8604.29,1313
8650.0,1309
8622.47,1338
8634.09,1354
8661.52,1252
8696.98,1175
8630.29,1215
8686.84,1226
8749.03,1227
8745.81,1274
8708.78,1320
8768.0,1322
8741.79,1337
8714.73,1350
8706.95,1326
8675.77,1339
8719.95,1352
8692.91,1287
8777.94,1225
8656.74,1251
8614.39,1276
8577.21,1345
8539.71,1428
8570.88,1456
8638.32,1473
8715.94,1477
8664.28,1486
8660.44,1484
8525.0,1479
8585.96,1437
8589.7,1399
8604.5,1406
8701.91,1436
8728.74,1463
8777.83,1472
8782.61,1526
8827.37,1551
8837.51,1605
8868.43,1665
8893.6,1646
8856.05,1663
8823.21,1677
8794.74,1566
8761.24,1438
8883.71,1376
8915.34,1334
8888.43,1341
8912.32,1329
8931.23,1323
8847.16,1377
8856.34,1388
8821.59,1393
8785.73,1422
8804.36,1420
8819.49,1383
8750.6,1342
8789.12,1361
8814.05,1377
8808.57,1396
8762.7,1343
8710.09,1258
8739.68,1283
8699.92,1297
8694.19,1268
8646.87,1275
8785.25,1351
8785.0,1374
8748.21,1337
8804.35,1336
8831.14,1349
8842.49,1379
8735.95,1411
8750.16,1440
8995.29,1427
9044.17,1584
9092.67,1704
9285.34,1697
9158.37,1944
9182.63,2126
9131.14,2125
9195.67,2108
9148.08,2106
9215.87,2089
9202.69,1841
9182.83,1558
9170.13,1441
9203.36,1354
9205.46,1287
9312.05,1206
9315.84,1261
9396.01,1383
9389.88,1484
9329.86,1509
9359.95,1453
9375.4,1490
9335.24,1491
9308.85,1420
9397.47,1414
9404.87,1307
9567.8,1192
9615.51,1380
9627.22,1580
9552.72,1643
9561.36,1659
9552.43,1666
9520.16,1670
9540.53,1681
9556.3,1618
9576.22,1500
9579.44,1348
9608.24,1222
9590.44,1262
9616.74,1271
9656.13,1247
9633.5,1305
9609.61,1313
9594.81,1272
9601.09,1274
9588.3,1254
9600.76,1214
9650.0,1188
9703.28,1166
9736.45,1201
9751.01,1308
9795.16,1360
9811.38,1394
9748.74,1453
9717.8,1485
9757.52,1508
9752.83,1486
9726.19,1413
9759.49,1334
9756.8,1248
9753.71,1233
9741.09,1228
9885.04,1203
9946.07,1294
9936.4,1414
9909.94,1468
9859.38,1491
9865.0,1478
9871.76,1450
9874.96,1442
9877.99,1425
9868.8,1424
9861.9,1323
9895.63,1226
9867.84,1223
9844.15,1191
9825.57,1152
9852.98,1161
9885.86,1195
9880.1,1176
9880.7,1173
9891.74,1168
9868.38,1186
9848.34,1213
9787.08,1210
9680.54,1222
9666.49,1337
9676.24,1474
9650.86,1514
9667.25,1526
9682.01,1548
9676.46,1523
9666.93,1457
9655.64,1422
9656.29,1362
9642.87,1193
9630.19,1103
9645.0,1154
9653.67,1159
9649.02,1148
9634.61,1144
9624.58,1141
9616.85,1147
9642.0,1135
9590.9,1140
9600.11,1172
9613.52,1153
9622.72,1158
9665.9,1190
9646.59,1193
9651.09,1196
9689.67,1172
9677.05,1211
9656.45,1259
9663.29,1229
9695.41,1188
9681.84,1175
9701.11,1193
9709.79,1202
9724.22,1165
9722.56,1149
9675.01,1158
9726.37,1155
9747.01,1181
9694.56,1204
9677.94,1192
9659.91,1173
9632.07,1195
9673.43,1266
9669.7,1278
9674.22,1243
9688.99,1276
9708.17,1282
9643.57,1254
9647.99,1244
9600.1,1199
9596.42,1219
9611.57,1283
9609.21,1303
9582.8,1307
9551.96,1315
9530.63,1347
9498.77,1374
9631.35,1354
9574.26,1332
9598.99,1310
9589.38,1276
9554.77,1302
9565.39,1341
9607.05,1316
9604.76,1292
9582.53,1300
9607.23,1293
9619.58,1256
9570.02,1212
9581.37,1191
9571.5,1160
9588.41,1165
9600.84,1172
9626.38,1164
9593.79,1148
9693.13,1133
9615.72,1225
10152.55,1322
10139.22,1751
10194.77,2163
10158.94,2228
10148.93,2295
10148.93,2278
10148.93,2230
10148.93,2240
10148.93,2256
10148.93,2214
10127.66,1665
10112.99,1130
10159.65,1143
10059.3,1161
10069.02,1179
10118.55,1220
10111.65,1254
10149.63,1268
10150.74,1271
10112.83,1229
10102.41,1238
10164.71,1257
10168.26,1241
10134.71,1241
10155.01,1214
10043.49,1205
9985.73,1276
9946.38,1361
9918.91,1434
9830.68,1511
9696.65,1646
9627.27,1879
9656.92,2085
9702.27,2108
9731.41,2096
9694.15,1985
9741.61,1783
9790.58,1687
9775.48,1616
9785.74,1525
9800.0,1405
9724.82,1372
9714.29,1374
9710.65,1294
9660.87,1256
9706.0,1281
9630.1,1301
9632.48,1327
9625.04,1347
9666.15,1390
9645.06,1388
9640.01,1317
9671.73,1249
9633.45,1210
9591.77,1220
9532.77,1250
9633.14,1308
9609.94,1334
9715.34,1319
9792.53,1375
9802.59,1487
9753.26,1582
9774.11,1571
9761.78,1561
9742.16,1592
9808.4,1597
9840.51,1519
9852.83,1461
9862.18,1398
9917.27,1292
9877.59,1352
9758.55,1402
9781.18,1371
9745.57,1404
9796.01,1405
9755.03,1356
9734.99,1351
9858.54,1379
9895.2,1383
9938.11,1380
9917.42,1439
9922.63,1460
9935.57,1449
9971.5,1461
9989.31,1491
9959.51,1542
9966.07,1529
9955.43,1401
10021.36,1259
10000.58,1227
10041.53,1236
9931.0,1279
9929.31,1288
9904.72,1256
9923.82,1277
9923.53,1302
9892.89,1324
9893.99,1361
9914.13,1369
9844.69,1345
9841.29,1404
9895.51,1353
10241.65,1242
10236.06,1533
10240.0,1851
10229.36,1842
10242.99,1839
10256.63,1855
10252.8,1827
10221.76,1853
10240.01,1890
10224.72,1853
10260.63,1458
10272.39,1090
10240.64,1106
10244.5,1156
10333.09,1152
10344.36,1210
10346.0,1292
10329.81,1309
10354.47,1281
10341.64,1281
10356.89,1313
10281.46,1313
10285.0,1276
10249.94,1270
10240.23,1278
10252.9,1253
10258.57,1278
10269.24,1265
10252.96,1269
10223.85,1286
10165.14,1267
10124.98,1276
10196.27,1332
10173.25,1378
10221.9,1333
10258.7,1309
10260.68,1318
10227.89,1326
10224.81,1317
10229.63,1288
10224.15,1306
10189.01,1342
10226.61,1263
10250.31,1189
10206.44,1217
10199.68,1225
10162.74,1206
10254.93,1186
10248.93,1223
10199.0,1244
10211.08,1196
10151.11,1200
10169.93,1233
10166.97,1235
10260.86,1245
10338.96,1242
10452.97,1313
10435.82,1519
10395.08,1663
10379.74,1658
10405.75,1619
10393.26,1633
10366.62,1652
10326.46,1649
10337.26,1548
10373.28,1354
10377.9,1283
10313.47,1273
10345.78,1250
10354.91,1259
10339.77,1253
10314.56,1218
10346.12,1188
10370.0,1160
10336.39,1170
10343.4,1190
10305.83,1182
10275.96,1202
10292.3,1244
10366.0,1257
10328.24,1218
10319.53,1192
10269.0,1225
10263.0,1233
10252.94,1232
10279.4,1246
10318.97,1260
10223.08,1261
10204.0,1275
10199.73,1312
10222.04,1282
10247.73,1277
10206.22,1272
10280.0,1260
10220.12,1271
10164.99,1254
9857.95,1280
9871.43,1584
9847.74,1891
9801.04,1916
9786.87,1952
9780.35,2024
9789.88,2035
9739.94,2037
9765.38,2037
9754.01,1977
9749.12,1626
9733.39,1308
9759.76,1306
9814.07,1256
9779.69,1210
9851.83,1234
9842.83,1237
9869.6,1258
9852.43,1297
9829.56,1295
9842.26,1281
9846.42,1305
9832.49,1278
9865.05,1212
9886.63,1229
9822.61,1205
9845.86,1138
9821.43,1132
9847.78,1174
9835.2,1198
9892.56,1200
9968.99,1177
9955.91,1241
9835.71,1331
10055.96,1334
10090.47,1434
10120.59,1563
10133.32,1601
10184.19,1592
10151.75,1668
10126.17,1733
10084.98,1723
10064.3,1741
10074.85,1755
10078.3,1510
10090.42,1280
10112.03,1305
10097.1,1275
10084.35,1282
10098.36,1269
10126.5,1208
10109.52,1171
10121.59,1165
10075.0,1175
10110.93,1138
10127.87,1140
10096.76,1135
10099.99,1141
10091.27,1167
10052.63,1161
9938.9,1183
9938.9,1334
9936.95,1426
9895.05,1403
9913.26,1452
9914.67,1472
9856.87,1452
9862.69,1466
9841.76,1495
9862.19,1457
9858.41,1304
9829.47,1236
9840.99,1275
9793.51,1251
9810.15,1261
9810.02,1278
9796.28,1216
9809.31,1181
9805.49,1170
9771.39,1138
9762.97,1163
9760.99,1214
9757.11,1213
9714.11,1163
9729.08,1198
9786.43,1235
9790.0,1232
9813.73,1220
9810.88,1227
9759.0,1276
